"---3OXpexMp0oAg77xWfYA";"5";"2012-04-07 00:00:00";"Pizza here made my night... Good people and great pizza. They can do anything you ask with a great attitude!";"2";"0";"0";"Slice of Vegas";"Las Vegas";"NV";"Vegan"
"--0RrdW5mtHa-Oeyzy4RjQ";"5";"2016-07-29 00:00:00";"Wow! This place is awesome. Everyone is so nice and helpful. The clean Checkup juice is amazing as is the daily dose shot. Great for anti-inflammatory and immune system. The #2 available bowl is also amazing! We were going to share one and decided it was too good and got our own.";"0";"0";"0";"Raw Organic Juice Bar";"Chandler";"AZ";"Vegan"
"--1Uj2FGirXqBmi_oA6-qg";"5";"2014-07-13 00:00:00";"Outstanding food and service. 

The atmosphere of the restaurant is very pleasant, and the servers were friendly right away. They all were highly knowledgable about the menu items and were eager to tell us how things were made, what their favourites are, etc. They all had great personalities and seemed to enjoy their jobs. 

The food and drinks were all amazingly delicious. I had the coconut curry soup, my girlfriend had the eggplant tempeh. We each got a drink off the summer drinks menu and had temaki cones to start. The food was flavourful and well-presented.

The server even thanked me for the generous tip I left, something most servers don't do. I'm a server myself so I know that lots of places don't acknowledge tips, good or bad, and that's just how it is. It was nice to hear a genuine thank you. She even told us she hoped our flight home in the morning was safe. 

You won't be disappointed at this place!";"3";"0";"0";"Vegetarian Haven";"Toronto";"ON";"Vegan"
"--c6GUtseZhMHA0rSfnN8w";"5";"2015-09-30 00:00:00";"This was our second, but certainly not our last, visit to Nandini's. We ordered lamb biryani and lamb korma. Both were perfectly spiced and seasoned. The lamb was fork tender. Don't forget to order the naan - garlic and regular. Large portions and loved the leftovers. Oh! Did we mention the mango lassi?";"1";"0";"1";"Nandini Indian Cuisine";"Tempe";"AZ";"Vegan"
"--DiZOzXn1uAPpdom4Hqhw";"5";"2013-06-13 00:00:00";"Absolutely perfect. Free wifi great coffee and great atmosphere.";"0";"0";"0";"Smelly Cat Coffee";"Charlotte";"NC";"Vegan"
"--iWdjX4JMdOnsxn-0K0JA";"5";"2016-01-19 00:00:00";"Fresh, delicious and healthy food.  Service was even better. I especially liked the ability to choose vegan options and special orders. I will be back.";"0";"0";"0";"Red Velvet Cafe";"Las Vegas";"NV";"Vegan"
"--jV6gScLsqZYE1oyS_2MA";"4";"2016-02-06 00:00:00";"Loved the interior decor of the restaurant. Full of plants and flowers. The vegan dishes were excellent! We came in for breakfast and we ordered tofu breakfast tacos and the french toast. Very natural taste and of course satisfying. Will come back during another vegas weekend. 

One note that i would recommend to the staff is to always have someone in the front of the restaurant ti greet incoming guests. I witnessed two parties walked out because they were unattended.";"0";"0";"0";"VegeNation";"Las Vegas";"NV";"Vegan"
"--k01htSwpX-RKVBy85l3w";"4";"2016-12-28 00:00:00";"YES. The food was incredible. We had the vegan tasting menu and it was truly delicious. I loved all of the appetizers and the mains, but the eggplant appetizer and the greens in the main were especially amazing. The injera was fluffy and sour, the way it should be. I also tried one of the micro-brewed beers on the menu and it was great. The only reason this is a 4 instead of a 5 star review is that, given the ingredients used (lentils, split peas, veggies), it is quite pricey. $30 per person before tax/tip/drinks is a lot when every other Ethiopian restaurant I've been to (and I've tried many!) has charged around $10-$15 while serving a similar amount of food. It's true that the quality at Nil Bleu is top notch, as was the service and ambiance, but it's hard to want to pay double what you would elsewhere for very similar food.

Edit: Forgot to mention that none of the dishes were spicy, which for some people might be important for Ethiopian food. I still thought they were all delicious, but the person I was with was disappointed.";"1";"0";"1";"Nil Bleu";"Montréal";"QC";"Vegan"
"--kqF5xA8BrKMoKkZy4pWQ";"1";"2016-03-11 00:00:00";"I asked for a simple... Simple orange juice.... What did the you my lady bring?.... Two bottles of organic orange juice from any supermarket.
So I asked.... Is that what you are going to give me or are you gonna give me fresh squeezed orange juice?
She replied: "" no, this is all so have""
I decided not to argue and asked for the menu. 
I see her attitude and I keep reading the list of juices and smoothies.
I chose the orange, carrot and ginger. And to my surprise , guess what.... Yes, she gets the fresh orange form the fridge. Almost $19 for two juices. And the worst service . Overrated and no idea what vegetarians want or need.";"4";"3";"1";"Violette's Vegan Organic Cafe & Juice Bar";"Las Vegas";"NV";"Vegan"
"--kV0u-JueIewYop-nBF9A";"4";"2010-07-08 00:00:00";"The vegan buffalo chicken wrap is still the bomb, the red velvet cake is still delectable! 

I think they've hired more people, because the service lately (I've been twice in the last month) has been really good and fast! I got my takeout order in about 10 min, and was tended to in a timely manner when I dined in with two others.

They are also trying out a bunch of new desserts each month; I had the tiramisu (very good) and strawberry creme (meh).";"3";"0";"2";"Red Velvet Cafe";"Las Vegas";"NV";"Vegan"
